time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1656470949.01365709,0.00120223,0.00000077,-nan,623.00000000,0.00173297,0.000000,0.000000
1656470949.04682899,0.00120437,0.00000082,-nan,623.00000000,0.00151318,0.000000,0.000000
1656470949.08000207,0.00120615,0.00000087,-nan,623.00000000,0.00146390,0.000000,0.000000
1656470949.11317396,0.00120397,0.00000043,-nan,623.00000000,0.00088539,0.000000,0.000000
1656470949.14634705,0.00120439,0.00000084,-nan,623.00000000,0.00126679,0.000000,0.000000
1656470949.17951894,0.00120602,0.00000062,-nan,623.00000000,0.00144673,0.000000,0.000000
1656470949.21269202,0.00120396,0.00000048,-nan,623.00000000,0.00089743,0.000000,0.000000
1656470949.24586511,0.00120176,0.00000056,-nan,623.00000000,0.00087091,0.000000,0.000000
1656470949.27903700,0.00120228,0.00000091,-nan,623.00000000,0.00128197,0.000000,0.000000
1656470949.31221008,0.00120276,0.00000076,-nan,623.00000000,0.00127537,0.000000,0.000000
1656470949.34538198,0.00120070,0.00000051,-nan,623.00000000,0.00088559,0.000000,0.000000
1656470949.37855506,0.00120352,0.00000080,-nan,623.00000000,0.00163755,0.000000,0.000000
1656470949.41172695,0.00120585,0.00000066,-nan,623.00000000,0.00156645,0.000000,0.000000
1656470949.44490004,0.00120380,0.00000042,-nan,623.00000000,0.00088515,0.000000,0.000000
1656470949.47807193,0.00120449,0.00000051,-nan,623.00000000,0.00131197,0.000000,0.000000
1656470949.51124501,0.00120709,0.00000076,-nan,623.00000000,0.00161866,0.000000,0.000000
1656470949.54441714,0.00121027,0.00000055,-nan,623.00000000,0.00171539,0.000000,0.000000
1656470949.57758999,0.00121281,0.00000095,-nan,623.00000000,0.00161984,0.000000,0.000000
1656470949.61076212,0.00121355,0.00000080,-nan,623.00000000,0.00133213,0.000000,0.000000
1656470949.64393497,0.00121695,0.00000070,-nan,623.00000000,0.00176692,0.000000,0.000000
1656470949.67710710,0.00122027,0.00000088,-nan,623.00000000,0.00176213,0.000000,0.000000
1656470949.71027994,0.00122339,0.00000086,-nan,623.00000000,0.00173434,0.000000,0.000000
1656470949.74345207,0.00122845,0.00000104,-nan,623.00000000,0.00206453,0.000000,0.000000
1656470949.77662492,0.00123048,0.00000061,-nan,623.00000000,0.00156700,0.000000,0.000000
1656470949.80979705,0.00122883,0.00000081,-nan,623.00000000,0.00095274,0.000000,0.000000
1656470949.84297013,0.00123219,0.00000052,-nan,623.00000000,0.00179699,0.000000,0.000000
1656470949.87614298,0.00123116,0.00000085,-nan,623.00000000,0.00105775,0.000000,0.000000
1656470949.90931511,0.00123153,0.00000064,-nan,623.00000000,0.00129457,0.000000,0.000000
1656470949.94248796,0.00123435,0.00000054,-nan,623.00000000,0.00171622,0.000000,0.000000
1656470949.97566009,0.00123724,0.00000088,-nan,623.00000000,0.00173340,0.000000,0.000000
1656470950.00883293,0.00123769,0.00000080,-nan,623.00000000,0.00131543,0.000000,0.000000
